$P_12$  $sw1_mean_delay$    $sw2_mean_delay$    $sw3_mean_delay$
0.01        3.05                1.00                2.414
0.1         2.57                1.04                2.013
0.2         2.25                1.09                1.73
0.3         2.07                1.14                1.54
0.4         1.97                1.21                1.40
0.5         1.94                1.29                1.29
0.6         1.97                1.40                1.21
0.7         2.07                1.54                1.14
0.8         2.25                1.73                1.09
0.9         2.57                2.013               1.04
0.99        3.05                2.414               1.00
