$num_chan$	$block1$	$block2$	$block3$	$block4$	$block5$	$block6$	$block7$	$block8$	$block9$	$block10$	$block11$	$block12$	$block13$	$block14$	$block15$	$block16$	$block17$	$block18$	$block19$	$block20$
1	0.4999421739	0.6666396082	0.7500096997	0.8000274145	0.8333468319	0.8571335202	0.8750157722	0.8889086193	0.9000286402	0.9091232163	0.9167105159	0.9231287374	0.9286186132	0.9333673442	0.9375434658	0.9412111142	0.9444665574	0.9473879281	0.9500164560	0.9523826578
2	0.2001666241	0.3999554708	0.5294696918	0.6154509448	0.6756683172	0.7199452719	0.7538426610	0.7804802995	0.8019997324	0.8196453393	0.8344643922	0.8470635281	0.8578613894	0.8672550580	0.8754635204	0.8827111221	0.8891895464	0.8949930367	0.9001925068	0.9049170625
3	0.0630145349	0.2104440687	0.3462030020	0.4508244909	0.5297175066	0.5901536808	0.6374958528	0.6754384768	0.7062940595	0.7319210174	0.7535838510	0.7719835132	0.7879052957	0.8017248987	0.8138721442	0.8246665565	0.8342552803	0.8428609438	0.8506404282	0.8576788382
4	0.0156219829	0.0948573429	0.2058431238	0.3106449598	0.3983844883	0.4696035435	0.5274041323	0.5746020729	0.6136588166	0.6465146427	0.6743684199	0.6982377909	0.7189152743	0.7370273128	0.7530220950	0.7671686707	0.7797323754	0.7911441953	0.8013774332	0.8107042504
5	0.0030909150	0.0365362080	0.1094776025	0.1987343030	0.2848101632	0.3605724335	0.4248285705	0.4789714223	0.5247849987	0.5637722138	0.5972250224	0.6260763390	0.6512197313	0.6733452731	0.6928494248	0.7102935941	0.7258037295	0.7398583352	0.7525322223	0.7640136430
6	0.0005102615	0.0121047031	0.0517592813	0.1165281573	0.1915754345	0.2650446123	0.3314509785	0.3899967433	0.4406779777	0.4844266630	0.5225743942	0.5558338755	0.5850659808	0.6108405361	0.6337336035	0.6541643761	0.6725277550	0.6891110283	0.7041353578	0.7177696298
7	0.0000732613	0.0034597296	0.0217535058	0.0623472891	0.1201364423	0.1850720901	0.2492267351	0.3085757351	0.3618917549	0.4091552186	0.4510157798	0.4879694116	0.5206703280	0.5497697033	0.5756216414	0.5990356915	0.6199964519	0.6390012850	0.6561794292	0.6719266667
8	0.0000090444	0.0008545130	0.0081029647	0.0302010045	0.0696586187	0.1216646129	0.1789377311	0.2359136444	0.2896087273	0.3386483291	0.3830266466	0.4228552134	0.4584926619	0.4904232146	0.5190613151	0.5448805244	0.5683435527	0.5895414348	0.6088752645	0.6266532521
9	0.0000011000	0.0001856876	0.0026471380	0.0132114594	0.0371658977	0.0748807029	0.1219845262	0.1734326611	0.2247171636	0.2737199034	0.3193068255	0.3607252024	0.3987019466	0.4328780606	0.4638982513	0.4920801346	0.5176909280	0.5409841529	0.5623753981	0.5817794513
10	0.0000001000	0.0000364653	0.0007776497	0.0051796472	0.0181238994	0.0428029630	0.0785016323	0.1216967096	0.1682579535	0.2151317668	0.2602202025	0.3025541603	0.3416565927	0.3775812525	0.4105957445	0.4406403942	0.4682763931	0.4933819392	0.5165044605	0.5377636585
11	0.0000000000	0.0000059888	0.0001994489	0.0018241977	0.0080846387	0.0226846475	0.0473499069	0.0811713117	0.1208559041	0.1635151595	0.2066266504	0.2484515691	0.2880340320	0.3248846162	0.3592255965	0.3908986991	0.4200351560	0.4467970218	0.4716556262	0.4942778414
12	0.0000000000	0.0000008778	0.0000445424	0.0005763557	0.0032857085	0.0111198051	0.0267568905	0.0511307714	0.0828195546	0.1198677160	0.1592930150	0.1990356140	0.2379905413	0.2751105617	0.3101729112	0.3427619192	0.3733253839	0.4015219919	0.4276794212	0.4518939619
13	0.0000000000	0.0000001556	0.0000091777	0.0001642395	0.0012176138	0.0050262216	0.0141408001	0.0304382931	0.0541402061	0.0842629335	0.1186273445	0.1550927268	0.1921825167	0.2286109834	0.2636214896	0.2969967474	0.3281823797	0.3574130563	0.3848379060	0.4102248252
14	0.0000000000	0.0000000333	0.0000018556	0.0000428648	0.0004126847	0.0021009068	0.0069732833	0.0170383303	0.0336411505	0.0566797310	0.0851952935	0.1172624135	0.1514522269	0.1861030623	0.2202883778	0.2536022439	0.2851834778	0.3150311507	0.3433213767	0.3696572422
15	0.0000000000	0.0000000000	0.0000002556	0.0000103221	0.0001282056	0.0008180733	0.0031792211	0.0089540450	0.0197857613	0.0364374896	0.0586772586	0.0857858240	0.1159436100	0.1479653050	0.1805009132	0.2128357383	0.2442241211	0.2746537045	0.3030025242	0.3302588662
16	0.0000000000	0.0000000000	0.0000000444	0.0000023778	0.0000373319	0.0002912813	0.0013684220	0.0044266846	0.0109737813	0.0221997077	0.0387680866	0.0603419292	0.0860037036	0.1146467407	0.1446433592	0.1753828295	0.2060168980	0.2359162560	0.2648414111	0.2923466249
17	0.0000000000	0.0000000000	0.0000000000	0.0000004889	0.0000104999	0.0000980569	0.0005489308	0.0020530822	0.0057702092	0.0128951061	0.0244871115	0.0408289544	0.0617139098	0.0860528426	0.1129866900	0.1415854307	0.1706122942	0.1998908960	0.2281805144	0.2557579115
18	0.0000000000	0.0000000000	0.0000000000	0.0000001333	0.0000025667	0.0000307657	0.0002091115	0.0009038472	0.0028523456	0.0071612680	0.0147947609	0.0265455861	0.0425920083	0.0627288255	0.0860021399	0.1115599055	0.1386734359	0.1662336088	0.1939903663	0.2213903642
19	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000007333	0.0000095777	0.0000750609	0.0003685966	0.0013532739	0.0037498965	0.0084871084	0.0165147869	0.0283650763	0.0442138810	0.0634956993	0.0858099020	0.1102001938	0.1358896883	0.1621213994	0.1887869644
20	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000001000	0.0000028555	0.0000256437	0.0001450120	0.0005991616	0.0018656304	0.0046720132	0.0098670241	0.0181129646	0.0300406381	0.0454415933	0.0641701633	0.0854502091	0.1088176255	0.1333133125	0.1584493968
