$off_load$	$w5n5_prob$	$w5n5_mean$	$w10n5_prob$	$w10n5_mean$	$w5n10_prob$	$w5n10_mean$	$w10n10_prob$	$w10n10_mean$
1	0.000673496	66.11534392	0.000378315	74.15914726	1.11111E-08	24.2731562	0	25.07300833
2	0.005774771	47.24320083	0.003152495	51.57292193	4.11096E-06	35.6260506	2.21103E-06	37.73822226
3	0.015287137	41.78433969	0.008335845	45.59966627	6.90248E-05	28.76199749	3.68162E-05	30.18067408
4	0.02699479	40.83035217	0.014885375	45.14326561	0.000413269	25.04753168	0.000220103	26.21815067
5	0.040233728	42.53257517	0.022776651	48.2702511	0.001378246	23.19967503	0.000739789	24.28645266
6	0.055658444	46.52371309	0.03287256	55.0992323	0.003164415	22.22332395	0.001681318	23.29579702
7	0.074513406	52.8554394	0.046943808	66.7671801	0.005741753	21.82359345	0.00302936	22.93517069
8	0.09840884	61.88439927	0.067924655	85.58183645	0.008901358	21.87980006	0.00469814	23.08186635
9	0.12904307	73.99827101	0.099777502	114.5221586	0.012502338	22.29849889	0.006617132	23.65662599
10	0.166984642	89.03765734	0.144581306	154.1874035	0.016469579	23.04473971	0.008777406	24.64568161
11	0.211044123	106.1334132	0.198486353	199.5814435	0.020810398	24.13579984	0.011222768	26.08963094
12	0.258227688	123.7910911	0.253236952	242.7024291	0.025630589	25.60823017	0.014010217	28.08080717
13	0.304587204	140.3166248	0.303137314	279.2427435	0.03107325	27.51337946	0.017329853	30.75300203
14	0.347661256	154.8563345	0.347339745	309.3879441	0.037440949	29.97354833	0.021426388	34.37677013
15	0.386432346	167.2579052	0.386373336	334.4316467	0.044886291	33.05766886	0.026594284	39.23515626
16	0.421218722	177.8279196	0.421208079	355.6316696	0.053929648	36.98371602	0.033437431	45.91328484
17	0.452336434	186.8733453	0.452332111	373.7282601	0.064953186	41.88977361	0.042668126	55.08244033
18	0.480313799	194.6794701	0.480310219	389.3400659	0.078466349	47.95455112	0.055347331	67.69235738
19	0.505600898	201.4974332	0.505596608	402.9838031	0.094830098	55.33467748	0.072528891	84.63542369
20	0.528623796	207.4786028	0.528619316	414.9623451	0.114597955	64.13275964	0.095221344	106.5471495
